"Carimbo de data/hora","1 - Em qual curso do IFAL você estuda?","2 - Ano do curso:","3 - Você já ouviu falar de Estatística e suas aplicações?","4 - Você já utilizou seus conhecimentos em Estatística no dia a dia?","5 - Você já ouviu falar de probabilidade, por exemplo, em previsões de chuva em jornais na TV?","6 - Você acha importante ter conhecimentos sobre estatística durante o curso técnico?","7 - Você considera que a Estatística está restrita apenas a Matemática ou está associada as diversas áreas do conhecimento?","8 - Você considera média e desvio padrão das notas obtidas durante as provas como exemplos de Estatísticas?","9 - Você utiliza Estatística ou já utilizou Estatística em Projetos de Pesquisa, Extensão ou Ensino  no IFAL?","10 - Você sabe como os professores calculam a média de suas notas obtidas nas disciplinas?"
"2023/10/05 11:25:44 AM GMT-3","Técnico Integrado em Agropecuária","1º ano","Sim","Sim","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Sim"
"2023/10/05 11:26:28 AM GMT-3","Técnico Integrado em Agropecuária","1º ano","Sim","Sim","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Sim"
"2023/10/05 11:29:27 AM GMT-3","Técnico Integrado em Administração","2º ano","Sim","Sim","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Sim"
"2023/10/05 11:47:07 AM GMT-3","Técnico Integrado em Agropecuária","1º ano","Sim","Sim","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Não"
"2023/10/05 11:47:07 AM GMT-3","Técnico Integrado em Agropecuária","1º ano","Sim","Sim","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Não"
"2023/10/05 11:54:19 AM GMT-3","Técnico Integrado em Agropecuária","1º ano","Não","Não","Sim","Não","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Sim"
"2023/10/05 11:58:13 AM GMT-3","Técnico Integrado em Agropecuária","1º ano","Não","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Sim"
"2023/10/05 11:59:49 AM GMT-3","Técnico Integrado em Agropecuária","1º ano","Não","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Sim","Não"
"2023/10/05 12:10:24 PM GMT-3","Técnico Integrado em Administração","3º ano","Sim","Sim","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Sim","Sim"
"2023/10/05 12:31:40 PM GMT-3","Técnico Integrado em Administração","1º ano","Não","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Não","Não","Sim"
"2023/10/05 12:42:31 PM GMT-3","Técnico Integrado em Administração","1º ano","Não","Sim","Sim","Sim","A Estatística possui aplicação limitada","Sim","Sim","Sim"
"2023/10/05 1:17:09 PM GMT-3","Técnico Integrado em Agropecuária","1º ano","Não","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Não"
"2023/10/05 1:18:57 PM GMT-3","Técnico Integrado em Administração","1º ano","Sim","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Sim"
"2023/10/05 1:47:00 PM GMT-3","Técnico Subsequente em Agropecuária","Módulo I","Sim","Sim","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Sim","Não"
"2023/10/05 3:12:12 PM GMT-3","Técnico Integrado em Agropecuária","2º ano","Sim","Sim","Sim","Não","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Não","Não","Não"
"2023/10/05 3:50:12 PM GMT-3","Técnico Integrado em Agropecuária","2º ano","Não","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Sim"
"2023/10/05 4:51:34 PM GMT-3","Técnico Integrado em Agropecuária","2º ano","Sim","Sim","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Não","Não","Sim"
"2023/10/05 6:24:19 PM GMT-3","Técnico Integrado em Agropecuária","2º ano","Sim","Sim","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Sim"
"2023/10/05 7:19:38 PM GMT-3","Técnico Integrado em Administração","2º ano","Sim","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Não","Não","Sim"
"2023/10/05 7:21:13 PM GMT-3","Técnico Integrado em Agropecuária","2º ano","Não","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Não"
"2023/10/05 7:21:25 PM GMT-3","Técnico Integrado em Administração","1º ano","Sim","Sim","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Sim","Sim"
"2023/10/05 7:21:38 PM GMT-3","Técnico Integrado em Agropecuária","2º ano","Sim","Sim","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Sim"
"2023/10/05 7:22:26 PM GMT-3","Técnico Integrado em Agropecuária","1º ano","Não","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Sim"
"2023/10/05 7:22:32 PM GMT-3","Técnico Integrado em Agropecuária","1º ano","Não","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Não"
"2023/10/05 7:22:35 PM GMT-3","Técnico Integrado em Agropecuária","1º ano","Não","Sim","Sim","Sim","A Estatística possui aplicação limitada","Não","Não","Sim"
"2023/10/05 7:23:43 PM GMT-3","Técnico Integrado em Administração","2º ano","Sim","Sim","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Sim","Sim"
"2023/10/05 7:24:05 PM GMT-3","Técnico Integrado em Agropecuária","1º ano","Sim","Sim","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Não","Sim","Sim"
"2023/10/05 7:25:41 PM GMT-3","Técnico Integrado em Administração","1º ano","Sim","Sim","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Não","Não","Sim"
"2023/10/05 7:26:07 PM GMT-3","Técnico Subsequente em Agropecuária","Módulo III","Sim","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Sim"
"2023/10/05 7:26:22 PM GMT-3","Técnico Integrado em Agropecuária","3º ano","Sim","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Não"
"2023/10/05 7:28:22 PM GMT-3","Técnico Integrado em Agropecuária","1º ano","Sim","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Não","Não","Sim"
"2023/10/05 7:28:51 PM GMT-3","Técnico Integrado em Administração","2º ano","Sim","Sim","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Sim"
"2023/10/05 7:31:18 PM GMT-3","Técnico Integrado em Administração","2º ano","Sim","Sim","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Não","Não","Sim"
"2023/10/05 7:39:19 PM GMT-3","Técnico Integrado em Administração","1º ano","Sim","Não","Não","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Não"
"2023/10/05 7:46:52 PM GMT-3","Técnico Integrado em Agropecuária","1º ano","Sim","Sim","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Sim"
"2023/10/05 7:50:28 PM GMT-3","Técnico Integrado em Agropecuária","2º ano","Não","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Sim","Sim"
"2023/10/05 7:52:11 PM GMT-3","Técnico Integrado em Administração","2º ano","Sim","Sim","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Não","Sim","Sim"
"2023/10/05 7:54:18 PM GMT-3","Técnico Integrado em Agropecuária","2º ano","Não","Não","Não","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Não","Não","Sim"
"2023/10/05 7:59:45 PM GMT-3","Técnico Integrado em Administração","2º ano","Sim","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Não","Não","Sim"
"2023/10/05 8:08:03 PM GMT-3","Técnico Integrado em Agropecuária","3º ano","Sim","Sim","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Sim"
"2023/10/05 8:50:03 PM GMT-3","Técnico Integrado em Agropecuária","1º ano","Não","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Não"
"2023/10/05 11:04:04 PM GMT-3","Técnico Integrado em Agropecuária","2º ano","Não","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Não","Não","Não"
"2023/10/05 11:06:09 PM GMT-3","Técnico Integrado em Administração","3º ano","Sim","Sim","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Sim","Sim"
"2023/10/06 6:39:23 AM GMT-3","Técnico Integrado em Administração","2º ano","Sim","Sim","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Não","Não","Sim"
"2023/10/06 6:44:26 AM GMT-3","Técnico Integrado em Agropecuária","1º ano","Sim","Não","Sim","Sim","A Estatística possui aplicação limitada","Sim","Não","Sim"
"2023/10/06 9:42:44 AM GMT-3","Técnico Integrado em Agropecuária","1º ano","Não","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Não","Não","Não"
"2023/10/06 12:11:03 PM GMT-3","Técnico Integrado em Administração","2º ano","Sim","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Sim"
"2023/10/06 3:01:18 PM GMT-3","Técnico Integrado em Agropecuária","1º ano","Não","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Não","Não","Sim"
"2023/10/06 3:53:06 PM GMT-3","Técnico Integrado em Administração","1º ano","Não","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Não"
"2023/10/06 5:04:57 PM GMT-3","Técnico Integrado em Agropecuária","3º ano","Sim","Sim","Sim","Não","A Estatística possui aplicação limitada","Sim","Não","Sim"
"2023/10/06 5:38:03 PM GMT-3","Técnico Subsequente em Agropecuária","Módulo II","Sim","Sim","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Não","Sim","Sim"
"2023/10/07 12:10:14 PM GMT-3","Técnico Integrado em Administração","2º ano","Sim","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Sim"
"2023/10/07 2:33:03 PM GMT-3","Técnico Subsequente em Agropecuária","Módulo III","Sim","Sim","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Sim","Sim"
"2023/10/07 2:33:18 PM GMT-3","Técnico Integrado em Agropecuária","3º ano","Não","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Sim"
"2023/10/07 2:33:38 PM GMT-3","Técnico Integrado em Agropecuária","3º ano","Não","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Sim"
"2023/10/07 2:35:18 PM GMT-3","Técnico Integrado em Agropecuária","3º ano","Sim","Sim","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Não","Não","Não"
"2023/10/07 2:36:44 PM GMT-3","Técnico Integrado em Agropecuária","3º ano","Não","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Sim"
"2023/10/07 2:38:19 PM GMT-3","Técnico Integrado em Agropecuária","3º ano","Não","Não","Sim","Sim","A Estatística possui aplicação limitada","Não","Não","Sim"
"2023/10/07 2:41:18 PM GMT-3","Técnico Integrado em Agropecuária","3º ano","Não","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Não","Não","Sim"
"2023/10/07 2:41:50 PM GMT-3","Técnico Integrado em Agropecuária","3º ano","Sim","Sim","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Não","Sim","Sim"
"2023/10/07 3:11:18 PM GMT-3","Técnico Integrado em Agropecuária","3º ano","Não","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Não"
"2023/10/07 3:32:26 PM GMT-3","Técnico Integrado em Agropecuária","3º ano","Sim","Sim","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Não","Não","Sim"
"2023/10/09 9:33:17 AM GMT-3","Técnico Subsequente em Agropecuária","Módulo II","Não","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Não"
"2023/10/09 9:36:01 AM GMT-3","Técnico Integrado em Agropecuária","1º ano","Não","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Sim"
"2023/10/09 9:49:38 AM GMT-3","Técnico Integrado em Agropecuária","2º ano","Sim","Não","Sim","Sim","A Estatística possui aplicação limitada","Não","Não","Sim"
"2023/10/09 9:51:01 AM GMT-3","Técnico Integrado em Agropecuária","2º ano","Não","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Não","Não",""
"2023/10/09 9:55:55 AM GMT-3","Técnico Integrado em Agropecuária","2º ano","Não","Não","Sim","Sim","A Estatística possui aplicação limitada","Não","Não","Sim"
"2023/10/09 10:09:57 AM GMT-3","Técnico Integrado em Agropecuária","1º ano","Sim","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Sim"
"2023/10/09 10:11:41 AM GMT-3","Técnico Integrado em Agropecuária","1º ano","Não","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Sim"
"2023/10/09 10:13:12 AM GMT-3","Técnico Integrado em Agropecuária","1º ano","Sim","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Sim"
"2023/10/09 10:18:34 AM GMT-3","Técnico Integrado em Agropecuária","2º ano","Não","Sim","Sim","Sim","A Estatística possui aplicação limitada","Não","Não","Sim"
"2023/10/09 12:07:30 PM GMT-3","Técnico Integrado em Administração","1º ano","Não","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Sim"
"2023/10/10 10:12:16 AM GMT-3","Técnico Integrado em Agropecuária","3º ano","Não","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Sim"
"2023/10/10 10:18:39 AM GMT-3","Técnico Integrado em Agropecuária","3º ano","Não","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Sim","Sim"
"2023/10/10 10:21:44 AM GMT-3","Técnico Integrado em Agropecuária","3º ano","Sim","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Sim"
"2023/10/10 12:37:20 PM GMT-3","Técnico Integrado em Agropecuária","3º ano","Sim","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Sim"
"2023/10/10 1:54:38 PM GMT-3","Técnico Integrado em Agropecuária","3º ano","Sim","Não","Sim","Sim","A Estatística possui aplicação limitada","Sim","Não","Sim"